Name,Information
Okinawa Rail, A flightless bird found only on the island of Okinawa in Japan; the Okinawa Rail is critically endangered due to habitat loss and predation by introduced species.
Orange-breasted Bunting, A small; brightly colored bird found in Mexico and Central America; the Orange-breasted Bunting is known for its vibrant orange breast and blue-gray back.
Oriental Bay Owl, A medium-sized owl found in Southeast Asia; the Oriental Bay Owl is known for its distinctive heart-shaped facial disc and loud; low-pitched hooting calls.
Ornate Hawk-eagle, A large; powerful bird of prey found in Central and South America; the Ornate Hawk-eagle is known for its striking black and white plumage and impressive hunting abilities.
Osprey, A large bird of prey found on every continent except Antarctica; the Osprey is known for its ability to catch fish from the water with its powerful talons and impressive aerial acrobatics.
Ostrich, The largest living bird in the world; the Ostrich is found in Africa and is known for its distinctive appearance; with long legs; a long neck; and a small head.
Ovenbird," A small; ground-dwelling songbird found in North and South America; the Ovenbird is known for its distinctive ""teacher teacher teacher"" song and dome-shaped nest."
Oystercatcher, A medium-sized shorebird found around the world; the Oystercatcher is named for its long; sharp bill; which it uses to pry open mollusk shells.
Painted Bunting, A small; brightly colored bird found in the southern United States; Mexico; and Central America; the Painted Bunting is known for its striking blue; green; and red plumage.
Palila, A small; endangered bird found only on the island of Hawaii; the Palila is known for its distinctive yellow head and critically endangered status due to habitat loss and predation by introduced species.
Palm Nut Vulture, A medium-sized bird of prey found in sub-Saharan Africa; the Palm Nut Vulture is known for its distinctive bald head and habit of feeding on the fruits and nuts of oil palm trees.
Paradise Tanager, A small; brightly colored bird found in the forests of South America; the Paradise Tanager is known for its vibrant blue; green; and yellow plumage and melodious song.
PARAKEET AKULET,The parakeet auklet is a small seabird of the North Pacific. Parakeet Auklets used to be placed on their own in the genus Cyclorrhynchus but recent morphological and genetic evidence suggest they should be placed in the genus Aethia; making them closely related to crested auklets and least auklets. Parakeets are social birds and can be trained to mimic human speech.
PARUS MAJOR, Parus major; also known as the Great Tit; is a common songbird found in Europe and Asia. They have a yellow breast and a black head with white cheeks. Great Tits are known for their complex vocalizations and are often studied by ornithologists.
PATAGONIAN SIERRA FINCH, Patagonian Sierra Finch is a small passerine bird found in southern Argentina and Chile. They have a black and white plumage; with a red crown and a black bib. These finches are known for their high-altitude habitat; often found in the Andes Mountains.
PEACOCK, Peacocks are known for their magnificent plumage; with iridescent feathers that can be green; blue; or gold. These birds are native to South Asia and are often kept in captivity for their ornamental value.
PEREGRINE FALCON, Peregrine Falcons are birds of prey found worldwide. They have a distinctive dark head and back with a barred chest and white belly. These falcons are known for their incredible speed during hunting; which can reach over 240 km/h (150 mph).
PHAINOPEPLA, Phainopeplas are small; black birds found in the southwestern United States and Mexico. They have a distinctive crest on their head and a red eye. These birds are known for their unique diet; which includes mistletoe berries.
PHILIPPINE EAGLE, Philippine Eagles are large birds of prey found in the Philippines. They have a brown and white plumage; with a distinctive shaggy crest. These eagles are known for their impressive wingspan; which can reach up to 2 meters (7 feet).
PINK ROBIN, Pink Robins are small passerine birds found in southeastern Australia. They have a pink breast and belly with a gray back and wings. These birds are known for their sweet; melodious song.
PLUSH CRESTED JAY, Plush Crested Jays are found in the high-altitude regions of South America. They have a black plumage with a shaggy crest and bright blue feathers on their wings. These jays are known for their loud; raucous calls.
POMARINE JAEGER, Pomarine Jaegers are seabirds found in the Arctic and sub-Arctic regions. They have a brown and white plumage; with a distinctive hooked beak. These birds are known for their aerial acrobatics during hunting; often seen stealing food from other seabirds.
PUFFIN, Puffins are seabirds found in the North Atlantic and Arctic regions. They have a distinctive colorful plumage; with a black and white body and a bright orange beak. These birds are known for their ability to swim underwater and catch fish with their beaks.
PUNA TEAL, Puna Teals are small ducks found in the high-altitude regions of South America. They have a brown and white plumage with a distinctive blue bill. These ducks are known for their high-altitude habitat; often found at elevations over 3;500 meters (11;500 feet).
PURPLE FINCH, The Purple Finch is a small bird commonly found in North America. Males have a bright reddish-purple head; back; and breast; while females are more muted in color. They are primarily seed-eaters and can be attracted to backyard bird feeders.
PURPLE GALLINULE, The Purple Gallinule is a brightly colored waterbird found in the southeastern United States; Mexico; and Central and South America. They have iridescent purple-blue plumage; a bright red beak; and long yellow legs. They are omnivores and feed on a variety of plant and animal matter.
PURPLE MARTIN, The Purple Martin is a migratory bird found throughout North America during the breeding season. They are cavity nesters and often use human-made birdhouses. They are insectivores and feed on a variety of flying insects.
PURPLE SWAMPHEN, The Purple Swamphen is a large; brightly colored waterbird found in parts of Africa; Europe; and Asia. They have purple-blue plumage; a red beak and forehead; and long green legs. They are omnivores and feed on a variety of plant and animal matter.
PYGMY KINGFISHER, The Pygmy Kingfisher is a small bird found in parts of Africa; Asia; and Australia. They have bright blue and orange plumage and feed primarily on insects and other small invertebrates.
PYRRHULOXIA, The Pyrrhuloxia is a small bird found in the southwestern United States and Mexico. They have a distinctive crest and a bright red bill; similar to a cardinal. They are seed-eaters and can be attracted to backyard bird feeders.
QUETZAL, The Quetzal is a brightly colored bird found in the cloud forests of Central and South America. They have iridescent green-blue plumage; a long tail; and a bright red belly. They feed on fruit and insects and are considered a symbol of beauty and freedom in Mayan and Aztec cultures.
RAINBOW LORIKEET, The Rainbow Lorikeet is a brightly colored parrot found in Australia; Indonesia; and other parts of Southeast Asia. They have a rainbow of colors on their plumage and are nectar feeders; often visiting backyard bird feeders.
RAZORBILL, The Razorbill is a seabird found in the North Atlantic. They have black and white plumage and a distinctive; sharply pointed beak. They feed on fish and other small marine animals.
RED BEARDED BEE EATER," The Red Bearded Bee Eater is a brightly colored bird found in parts of sub-Saharan Africa. They have green and red plumage; a distinctive red ""beard;"" and feed primarily on flying insects; especially bees"
RED BELLIED PITTA, The Red Bellied Pitta is a brightly colored bird found in Southeast Asia and parts of Australia. They have a deep blue-green back; bright red belly; and a distinctive call. They feed on insects and other small invertebrates.
RED BILLED TROPICBIRD, The Red Billed Tropicbird is a seabird found in tropical waters around the world. They have white plumage; a distinctive red bill; and long; streaming tail feathers. They feed on fish and other small marine animals.
RED BROWED FINCH, The Red Browed Finch is a small bird found in parts of Australia and Indonesia. They have a distinctive red-brown eyebrow and feed on grass seeds and other small seeds.
Red Faced Cormorant, This bird is a species of cormorant that is native to the northern Pacific Ocean; particularly along the coasts of Alaska and eastern Russia. It is a medium-sized bird that feeds on fish and other small marine creatures
Red Faced Warbler, This bird is a small songbird that is native to the western United States and Mexico. It has a distinctive red face and is often found in high-altitude forests and mountain meadows.
Red Fody, This bird is a small; brightly colored bird that is native to Madagascar and nearby islands. It is known for its bright red plumage and is often found in grasslands and open habitats.
Red Headed Duck, This bird is a species of diving duck that is found in North America; particularly in the western United States and Mexico. It is named for its distinctive red head and is known for its ability to dive deep underwater in search of food.
Red Headed Woodpecker, This bird is a medium-sized woodpecker that is native to North America. It is named for its bright red head and is often found in open woodlands and along forest edges.
Red Knot, This bird is a medium-sized shorebird that is found in many parts of the world; including North and South America; Europe; and Asia. It is named for its distinctive red breast and is known for its long migration journeys.
Red Legged Honeycreeper, This bird is a small; brightly colored bird that is native to Central and South America. It is known for its bright red legs and is often found in forested habitats.
Red Naped Trogon, This bird is a medium-sized bird that is native to Central and South America. It is known for its distinctive red nape (the back of its neck) and is often found in forested habitats.
Red Shouldered Hawk, This bird is a medium-sized hawk that is native to North America. It is named for its distinctive reddish-brown shoulder feathers and is often found in wooded areas and along forest edges.
Red Tailed Hawk, This bird is a large hawk that is native to North America. It is named for its distinctive reddish-brown tail feathers and is often found soaring high above open habitats.
Red Tailed Thrush, This bird is a medium-sized thrush that is native to South America. It is named for its distinctive reddish-brown tail feathers and is often found in forested habitats.
Red Winged Blackbird, This bird is a medium-sized blackbird that is native to North America. It is named for its distinctive red and yellow shoulder patches and is often found in wetland habitats.
Red Whiskered Bulbul, This bird is a small; brightly colored bird that is native to Asia. It is known for its bright red whiskers and is often found in urban and suburban habitats.
Regent Bowerbird, The Regent Bowerbird is a small to medium-sized bird found in Australia; known for its elaborate bower-building and courtship rituals. The male bird is black with a bright yellow crest; while the female is brown with white streaks. They feed on insects; fruit; and seeds.
Ring-Necked Pheasant, The Ring-Necked Pheasant is a game bird native to Asia but now widely introduced in many parts of the world for hunting and sport. The male bird has a colorful plumage with a distinctive white ring around its neck; while the female is more drab in coloration. They feed on grains; seeds; insects; and small animals.
Roadrunner, The Roadrunner is a bird found in the southwestern United States and Mexico; known for its distinctive appearance and speedy running abilities. They have a long tail and distinctive crest on their head. They are opportunistic feeders; eating a wide variety of prey including insects; reptiles; rodents; and birds.
Rock Dove, The Rock Dove; also known as the common pigeon; is a bird found worldwide in cities and urban areas. They are known for their distinctive cooing calls and ability to adapt to a variety of environments. They feed on grains and seeds.
Rose-Breasted Cockatoo, The Rose-Breasted Cockatoo is a medium-sized parrot found in Australia and Indonesia. They are known for their beautiful pink and white plumage and their ability to mimic human speech. They feed on nuts; fruits; and seeds.
Rose-Breasted Grosbeak, The Rose-Breasted Grosbeak is a migratory bird found in North America; known for its striking black and white plumage and bright red breast. They feed on insects; seeds; and fruits.
Roseate Spoonbill, The Roseate Spoonbill is a wading bird found in parts of the Americas. They are known for their distinctive spoon-shaped bill and bright pink plumage. They feed on fish; crustaceans; and other small aquatic creatures.
Rosy-Faced Lovebird, The Rosy-Faced Lovebird is a small parrot found in southwestern Africa. They are known for their bright green plumage and distinctive red face. They feed on seeds; fruits; and insects.
Rough-Legged Buzzard, The Rough-Legged Buzzard is a bird of prey found in the northern parts of Europe; Asia; and North America. They are known for their distinctive feathered legs and their ability to hunt small mammals such as rodents and rabbits.
Royal Flycatcher, The Royal Flycatcher is a small bird found in Central and South America; known for its bright and elaborate crest on its head. They feed on insects and small arthropods.
Ruby-Crowned Kinglet, The Ruby-Crowned Kinglet is a small bird found in North America. They are known for their bright ruby crown on their head and their ability to hover in the air while feeding on insects.
Ruby-Throated Hummingbird, The Ruby-Throated Hummingbird is a small bird found in eastern North America; known for its distinctive metallic green and red plumage and its ability to hover in the air while feeding on nectar from flowers.
RUDDY SHELDUCK, This bird is a species of duck that is native to central and southern Asia; as well as parts of Europe and Africa. It is known for its distinctive reddish-brown plumage and large; curved bill.
RUDY KINGFISHER, The Rudy Kingfisher is a small species of kingfisher that is found in parts of Southeast Asia. It is known for its bright red bill and dark blue-green plumage.
RUFOUS KINGFISHER, This bird is a species of kingfisher that is found in parts of Southeast Asia; including Thailand; Cambodia; and Vietnam. It is known for its bright rufous (reddish-brown) plumage and large; curved bill.
RUFOUS TREPE, The Rufous-tailed Treepie is a species of bird that is found in parts of South and Southeast Asia. It is known for its distinctive black-and-white plumage; rufous tail; and long; curved bill.
RUFUOS MOTMOT, The Rufous Motmot is a species of bird that is found in parts of Central and South America. It is known for its distinctive rufous (reddish-brown) plumage and long; colorful tail feathers.
SAMATRAN THRUSH, This bird is a species of thrush that is found on the Indonesian island of Sumatra. It is known for its distinctive black-and-white plumage and bright yellow bill.
SAND MARTIN, The Sand Martin is a small species of swallow that is found in parts of Europe; Asia; and Africa. It is known for its sandy-brown plumage and habit of nesting in sand banks.
SANDHILL CRANE, This bird is a large species of crane that is found in North America. It is known for its distinctive red forehead patch and its habit of congregating in large flocks during migration.
SATYR TRAGOPAN, The Satyr Tragopan is a species of bird that is found in parts of the Himalayas. It is known for its bright orange and blue plumage; as well as its distinctive horns (which are actually modified feathers).
SAYS PHOEBE, This bird is a species of flycatcher that is found in parts of North and Central America. It is known for its dull brown plumage and habit of perching on low branches or fences.
SCARLET CROWNED FRUIT DOVE, The Scarlet-crowned Fruit Dove is a small species of dove that is found in parts of Southeast Asia. It is known for its bright green and red plumage and its habit of feeding on fruit.
SCARLET FACED LIOCICHLA, This bird is a species of babbler that is found in parts of Southeast Asia. It is known for its bright red face and throat; as well as its habit of living in dense undergrowth.
SCARLET IBIS, The Scarlet Ibis is a species of bird that is found in parts of South America and the Caribbean. It is known for its bright scarlet plumage; which is caused by pigments in the crustaceans it eats.
SCARLET MACAW, This bird is a large species of parrot that is found in parts of Central and South America. It is known for its bright red; blue; and yellow plumage; as well as its ability to mimic human speech.
Scarlet Tanager, The Scarlet Tanager is a brightly colored songbird found in the eastern United States. The male is a brilliant red with black wings; while the female is olive-yellow with darker wings.
Shoebill, The Shoebill is a large; prehistoric-looking bird found in East Africa. It has a distinctive; shoe-shaped bill which it uses to catch fish and other small prey in swamps and marshes.
Short Billed Dowitcher, The Short Billed Dowitcher is a medium-sized shorebird found throughout North and Central America. It has a short; straight bill and a brownish-gray plumage.
Smiths Longspur, The Smiths Longspur is a small; sparrow-like bird found in the Arctic tundra. The male has a distinctive black and white plumage with a rusty cap; while the female is more subdued in color.
Snow Goose, The Snow Goose is a large; white waterbird found in North America. It breeds in the Arctic tundra and migrates south in the winter; forming large flocks.
Snowy Egret, The Snowy Egret is a small; white heron found in wetlands throughout the Americas. It has a distinctive yellow bill and black legs; and is known for its elegant; graceful movements.
Snowy Owl, The Snowy Owl is a large; white owl found in the Arctic tundra. It has a distinctive round head and yellow eyes; and is well adapted to life in cold; snowy environments.
Snowy Plover, The Snowy Plover is a small; sandy-colored shorebird found on beaches and in coastal wetlands throughout the Americas. It is threatened by habitat loss and disturbance from human activity.
Sora, The Sora is a small; secretive rail found in wetlands throughout North and Central America. It has a distinctive; whinnying call and is rarely seen in the open.
Spangled Cotinga, The Spangled Cotinga is a brightly colored bird found in the rainforests of Central and South America. The male has a striking blue and black plumage; while the female is more subdued in color.
Splendid Wren, The Splendid Wren is a small; colorful bird found in the highlands of Mexico and Central America. It has a distinctive blue and orange plumage and a loud; melodious song.
Spoon Billed Sandpiper, The Spoon Billed Sandpiper is a small; critically endangered shorebird found in the coastal wetlands of Russia and Southeast Asia. It has a distinctive spoon-shaped bill and is threatened by habitat loss and hunting.
Spotted Catbird, The Spotted Catbird is a medium-sized bird found in the rainforests of Australia and Papua New Guinea. It has a distinctive spotted plumage and a loud; cat-like call.
Spotted Whistling Duck, The Spotted Whistling Duck is a medium-sized duck found in wetlands throughout Australia and Southeast Asia. It has a distinctive spotted plumage and a whistling call.
Squacco Heron, The Squacco Heron is a small; colorful heron found in wetlands throughout Europe; Asia; and Africa. It has a distinctive chestnut and buff plumage and a short; curved bill.
Sri Lanka Blue Magpie, The Sri Lanka Blue Magpie is a brightly colored bird found only in the forests of Sri Lanka. It has a distinctive blue and black plumage and a long; curved tail.
Steamer Duck, The steamer duck is a group of flightless ducks that live in the southern hemisphere; particularly in the Falkland Islands and southern Argentina. They are named for their ability to swim at high speeds while paddling their wings like a paddleboat or steamship. There are two species of steamer ducks; the Falkland steamer duck; and the flying steamer duck. They feed on crustaceans; mollusks; and small fish.
Stork-billed Kingfisher, The stork-billed kingfisher is a large and colorful bird that is found in the tropical regions of Asia; from India to Southeast Asia. It is the largest of all the kingfishers; measuring up to 35 cm in length. Its beak is massive and measures up to 14 cm; and it feeds on fish; frogs; and crustaceans. It is often found near water; such as rivers; ponds; and mangroves.
Striated Caracara, The striated caracara is a bird of prey that is native to the Falkland Islands and Tierra del Fuego. It is a social bird that is often seen in groups; scavenging for food along the coastline. It feeds on carrion; insects; and small mammals. It is also known for its intelligence and has been observed using tools to obtain food.
Striped Owl, The striped owl is a medium-sized owl that is found in Central and South America. It is a nocturnal bird that feeds on rodents; insects; and other small animals. It has distinctive stripes on its breast and belly; and its eyes are large and yellow.
Striped Manakin, The striped manakin is a small bird that is found in the tropical rainforests of South and Central America. The male has black and white stripes on its head and a bright red throat; while the female is olive-green with a yellow throat. It feeds on fruit and insects and is known for its acrobatic courtship displays.
Striped Swallow, The striped swallow is a small bird that is found in southern Africa. It has a distinctive black and white striped plumage and a deeply forked tail. It feeds on insects and is often found near water.
Sunbittern, The sunbittern is a wading bird that is found in Central and South America. It has a unique plumage; with a sunburst pattern on its wings and a blue and orange neck. It feeds on fish; insects; and crustaceans and is often found near rivers and streams.
Superb Starling, The superb starling is a colorful bird that is found in East Africa. It has a metallic blue and green plumage with a bright orange breast. It feeds on insects; fruits; and seeds and is often found in small flocks.
Surf Scoter, The surf scoter is a sea duck that is found in the northern hemisphere. It has a black plumage with white patches on its head and neck. It feeds on mollusks; crustaceans; and small fish and is often seen diving in the ocean.
Swinhoe's Pheasant, Swinhoe's pheasant is a large bird that is found in the forests of Taiwan and China. The male has a blue-black plumage with white spots; while the female is brown. It feeds on seeds; insects; and small animals and is often hunted for its meat and feathers.
Tailorbird, Tailorbirds are small songbirds found in the Old World tropics. They are known for their unique behavior of sewing leaves together with plant fibers or spider silk to create a nest.
Taiwan Magpie, The Taiwan Magpie is a colorful bird endemic to Taiwan. They are known for their distinctive long tail feathers and their social behavior; often seen in groups of six to eight.
Takahe, The Takahe is a flightless bird found only in New Zealand. They are one of the world's rarest and most endangered species. They have bright blue feathers; a green beak; and large red legs.
Tasmanian Hen, The Tasmanian Hen; also known as the Tasmanian Native-hen; is a flightless bird endemic to Tasmania. They are found in a variety of habitats; including wetlands; grasslands; and forests.
Tawny Frogmouth, The Tawny Frogmouth is a nocturnal bird native to Australia. They are known for their wide beaks and camouflaging plumage; which allows them to blend into their surroundings during the day.
Teal Duck, Teal Ducks are small dabbling ducks found in various parts of the world. They are known for their distinctive green-colored heads; and they are commonly found in wetlands and shallow water bodies.
Tit Mouse, The Tit Mouse is a small passerine bird found in the Northern Hemisphere. They are known for their acrobatic feeding habits; which involve hanging upside down to forage for food.
Touchan, The Touchan; also known as the Japanese Thrush; is a migratory bird found in East Asia. They have brownish-gray plumage and are known for their melodious songs.
Townsend's Warbler, The Townsend's Warbler is a small songbird found in North America. They have distinctive yellow markings on their head and a black throat. They are commonly found in coniferous forests.
Tree Swallow, Tree Swallows are small migratory birds found in North and South America. They are known for their iridescent blue-green plumage and their habit of nesting in tree cavities.
Tricolored Blackbird, The Tricolored Blackbird is a bird native to North America. They have striking black; white; and red plumage and are found in wetlands; fields; and grasslands.
Tropical Kingbird, The Tropical Kingbird is a passerine bird found in Central and South America. They have olive-brown plumage and are known for their habit of perching on exposed branches and wires.
Trumpeter Swan, The Trumpeter Swan is the largest native waterfowl species found in North America. They have white plumage and a distinctive trumpet-like call.
Turkey Vulture, The Turkey Vulture is a large bird found in the Americas. They have a bald red head and are known for their habit of scavenging for carrion.
Turquoise Motmot, The Turquoise Motmot is a colorful bird found in Central and South America. They have turquoise and green plumage and are known for their distinctive racket-shaped tail feathers.
Umbrella Bird, The umbrella bird is a large and distinctive bird species that inhabits the rainforests of Central and South America. They are known for their unique and prominent crest on their head; which resembles an umbrella. Umbrella birds are omnivores and primarily feed on fruit and insects; but may also eat small vertebrates such as lizards and frogs.
Varied Thrush, The Varied Thrush is a brightly colored bird that is native to the Pacific Northwest of North America. They have a striking orange and black coloration and a distinctive flute-like call. Varied Thrushes primarily feed on insects; fruits; and seeds; and are known for their preference for moist; forested areas.
Veery, The Veery is a small bird species that breeds in the boreal forests of North America and winters in Central and South America. They are known for their unique and melodic song; which is often described as a spiraling; ethereal melody. Veeries feed on insects and berries and are typically found in dense undergrowth.
Venezuelan Troupial, The Venezuelan Troupial is a brightly colored bird species that is native to northern South America. They are known for their striking black and orange plumage and their melodic songs. Venezuelan Troupials are omnivores and feed on insects; fruits; and seeds.
Verdin, The Verdin is a small bird species that is native to the southwestern United States and Mexico. They are known for their bright yellow coloration and distinctive calls. Verdins primarily feed on insects and spiders and are often found in desert areas.
Vermilion Flycatcher, The Vermilion Flycatcher is a small bird species that is native to the southwestern United States; Mexico; and Central and South America. They are known for their bright red coloration and their habit of catching insects in midair. Vermilion Flycatchers primarily feed on insects and may also eat small vertebrates such as lizards and frogs.
Victoria Crowned Pigeon, The Victoria Crowned Pigeon is a large and beautiful bird species that is native to the rainforests of New Guinea. They are known for their striking blue and green plumage and their elaborate courtship displays. Victoria Crowned Pigeons primarily feed on fruits and seeds.
Violet-backed Starling, The Violet-backed Starling is a small bird species that is native to sub-Saharan Africa. They are known for their iridescent purple and green plumage and their melodious songs. Violet-backed Starlings primarily feed on fruits and insects.
Violet-green Swallow, The Violet-green Swallow is a small bird species that is native to North America. They are known for their distinctive coloration; which features iridescent green on their upperparts and purple on their underparts. Violet-green Swallows primarily feed on flying insects and are often found near water.
Violet Turaco, The Violet Turaco is a medium-sized bird species that is native to sub-Saharan Africa. They are known for their striking green and violet plumage and their loud; raucous calls. Violet Turacos primarily feed on fruits and are often found in forested areas.
Visayan Hornbill, The Visayan Hornbill is a medium-sized bird species that is native to the Visayan islands of the Philippines. They are known for their distinctive casque on their bill and their loud; cackling calls. Visayan Hornbills primarily feed on fruits and insects and are often found in forested areas.
Vulturine Guineafowl, This bird is native to parts of East Africa and is known for its striking blue plumage and distinctive bare head and neck; which are bright red and blue in color. They have a unique call that sounds like a series of sharp whistles.
Wall Creeper, The Wall Creeper is a small; insect-eating bird found in mountainous regions of Europe and Asia. It has a distinctive crimson coloration and is well adapted for clinging to vertical surfaces; using its sharp claws to climb up steep cliffs and walls in search of food.
Wattled Curassow, This large; ground-dwelling bird is found in parts of South America and is known for its striking black and white plumage; as well as its distinctive fleshy blue wattle; which hangs from its neck.
Wattled Lapwing, This bird is found throughout much of sub-Saharan Africa and is known for its striking black and white plumage; as well as its distinctive yellow wattle; which hangs from its beak. It is a ground-dwelling bird that feeds primarily on insects and small invertebrates.
Whimbrel, The Whimbrel is a medium-sized shorebird that is found in coastal areas around the world. It is known for its long; curved beak and distinctive brown and white plumage; and is a migratory species that travels long distances each year.
White-breasted Waterhen, This bird is found throughout much of South and Southeast Asia and is known for its distinctive white breast and brown and black plumage. It is a ground-dwelling bird that is often found near water sources and feeds on insects; small fish; and other invertebrates.
White-browed Crake, This small; secretive bird is found in wetland habitats throughout much of South and Central America. It is known for its distinctive white eyebrow and brown and black plumage; and feeds primarily on insects and small invertebrates.
White-cheeked Turaco, The White-cheeked Turaco is a medium-sized bird found in parts of East Africa. It is known for its striking green and red plumage; as well as its distinctive white cheek patch.
White-crested Hornbill, This bird is found in parts of Southeast Asia and is known for its distinctive white crest and black and white plumage. It is a cavity-nesting species that feeds primarily on fruit and insects.
White-eared Hummingbird, This small bird is found in parts of South America and is known for its distinctive white ear patch and metallic green and blue plumage. It is a nectar-feeding species that plays an important role in pollination.
White-necked Raven, The White-necked Raven is a large; black bird found in parts of Africa and the Middle East. It is known for its distinctive white neck feathers and is a scavenger that feeds on carrion and other animal remains.
White-tailed Tropicbird, This seabird is found in tropical and subtropical waters around the world. It is known for its distinctive white tail feathers and long; pointed wings; which make it well adapted for soaring over the ocean.
White-throated Bee-eater, This bird is found throughout much of sub-Saharan Africa and is known for its distinctive green and blue plumage; as well as its white throat and distinctive curved beak. It is a migratory species that feeds primarily on bees and other flying insects.
Wild Turkey, Wild turkeys are native to North America and are known for their distinctive fan-shaped tail feathers and bald head. They are omnivores and primarily feed on nuts; seeds; and insects.
Willow Ptarmigan, The Willow Ptarmigan is a medium-sized bird found in the tundra and boreal forests of Alaska; Canada; and Russia. During the winter; they have a completely white plumage that helps them blend in with the snow. In the summer; they molt and have brown and white feathers.
Wilson's Bird of Paradise, The Wilson's Bird of Paradise is a small bird found only on the islands of Waigeo and Batanta in Indonesia. The male has vibrant blue and green feathers with a bright red and yellow patch on its head; while the female is mostly brown.
Wood Duck, The Wood Duck is a colorful bird found throughout North America. The males have a distinctive iridescent green head; red eyes; and a white stripe running down their neck. Wood ducks are cavity nesters and will often use man-made nesting boxes.
Wood Thrush, The Wood Thrush is a medium-sized bird found in the eastern United States. It has a brown back and speckled breast; and its distinctive flute-like song is a common sound in deciduous forests.
Woodland Kingfisher, The Woodland Kingfisher is a medium-sized bird found in sub-Saharan Africa. It has bright blue and white feathers and is known for its distinctive call; which sounds like a loud; clear whistle.
Wrentit, The Wrentit is a small bird found along the Pacific coast of North America. It has a brown back and gray chest and is known for its loud and constant singing; which is often mistaken for the sound of a cricket or grasshopper.
Yellow Bellied Flowerpecker, The Yellow Bellied Flowerpecker is a small bird found in Southeast Asia. It has bright yellow underparts and a greenish-blue back; and primarily feeds on nectar and insects.
Yellow Cacique, The Yellow Cacique is a medium-sized bird found in Central and South America. The males have bright yellow feathers with a black head and tail; while the females are mostly brown.
Yellow Headed Blackbird, The Yellow Headed Blackbird is a medium-sized bird found in western North America. It has a black body and a bright yellow head and chest; and is often found in marshy areas.
Zebra Dove, The Zebra Dove is a small bird found throughout Southeast Asia and the Pacific islands. It has brown and white striped feathers and a distinctive cooing call.
